,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
0,2 - 3 years,"Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,611 sq ft",2,3,3 BHK Apartment ,"3, ",Deccan Gymkhana,New,Co-Operative Society,27000000,"₹ 16,759/ sq ft ",Ready to move
1,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,279 sq ft",,2,2 BHK Apartment ,1,Kharadi,New,Freehold,7610050,"₹ 5,950/ sq ft ",Ready to move
2,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,670 sq ft,,1,1 BHK Apartment ,1,Sus,New,Freehold,4100000,"₹ 6,119/ sq ft ",Ready to move
3,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting","Sports Facility,Landscaped Gardens",956 sq ft,,2,2 BHK Apartment ,1,Bavdhan,New,Freehold,5736000,"₹ 6,000/ sq ft ",Ready to move
4,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Intercom,Rain Water Harvesting,Landscaped Gardens","Club House,Swimming Pool,Sports Facility,Jogging Track","1,706 sq ft",1,3,3 BHK Apartment ,"6, ",Deccan Gymkhana,New,Freehold,29002000,"₹ 17,000/ sq ft ",Ready to move
5,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track","1,015 sq ft",2,2,2 BHK Apartment ,"2, ",Mundhwa,New,Freehold,4720765,"₹ 4,651/ sq ft ",Ready to move
6,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"3,725 sq ft",,5,4 BHK Apartment ,1,Viman Nagar,New,Freehold,30172500,"₹ 8,100/ sq ft ",Ready to move
7,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM","Sports Facility,Landscaped Gardens",450 sq ft,,1,1 BHK Apartment ,1,Baner,New,Freehold,4000000,"₹ 8,889/ sq ft ",Ready to move
8,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Children's play area,Gymnasium,Swimming Pool,Sports Facility,AC,TV,Wifi,BED","1,650 sq ft",2,3,3 BHK Apartment ,"4, ",Law collage Road,Resale,Freehold,24000000,"₹ 14,545/ sq ft ","Ready to move,Unfurnished"
9,0 - 1 year,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Jogging Track,Staff Quarter,Landscaped Gardens","Swimming Pool,Sports Facility",449 sq ft,1,1,1 BHK Apartment ,"1, ",Mahalunge,New,Freehold,2783351,"₹ 6,199/ sq ft ",Ready to move
14,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wifi,Gas connection","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,305 sq ft",2,2,2 BHK Apartment ,"2, ",Baner,New,Freehold,9000000,"₹ 6,896/ sq ft ",Ready to move
52,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,155 sq ft",,2,2 BHK Apartment ,"2, ",Hinjewadi,New,Freehold,6443000,"₹ 5,578/ sq ft ",Ready to move
54,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,170 sq ft",2,2,2 BHK Apartment ,"1, ",Model Colony,New,Freehold,17000000,"₹ 14,529/ sq ft ",Ready to move
55,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,205 sq ft",2,3,3 BHK Apartment ,"10, ",Baner,New,Freehold,25000000,"₹ 11,337/ sq ft ",Ready to move
61,6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,500 sq ft",2,3,3 BHK Apartment ,"3, ",Erandwane,Resale,Freehold,21000000,"₹ 14,000/ sq ft ","Ready to move,Furnished"
62,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Shopping Mall,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,170 sq ft",1,2,2 BHK Apartment ,"12, ",Kothrud,New,Co-Operative Society,10100000,"₹ 8,632/ sq ft ",Ready to move
