age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,place,neworold,ownership,price,price_per_sq,status
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens",1279,2,2,2 BHK Apartment ,1,Kharadi,New,Freehold,7610050,5950,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,670,2,1,1 BHK Apartment ,1,Sus,New,Freehold,4100000,6119,Ready to move
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting","Sports Facility,Landscaped Gardens",956,2,2,2 BHK Apartment ,1,Bavdhan,New,Freehold,5736000,6000,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Swimming Pool,Sports Facility,Jogging Track",1015,2,2,2 BHK Apartment ,2,Mundhwa,New,Freehold,4720765,4651,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,3725,2,5,4 BHK Apartment ,1,Viman Nagar,New,Freehold,30172500,8100,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM","Sports Facility,Landscaped Gardens",450,2,1,1 BHK Apartment ,1,Baner,New,Freehold,4000000,8889,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wifi,Gas connection","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",1305,2,2,2 BHK Apartment ,2,Baner,New,Freehold,9000000,6896,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1155,2,2,2 BHK Apartment ,2,Hinjewadi,New,Freehold,6443000,5578,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",2205,2,3,3 BHK Apartment ,10,Baner,New,Freehold,25000000,11337,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Shopping Mall,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1170,1,2,2 BHK Apartment ,12,Kothrud,New,Co-Operative Society,10100000,8632,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,AC,Wifi,Microwave","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",2300,3,3,3 BHK Apartment ,10,Baner,New,Freehold,24500000,10652,Ready to move
12,Lift Available,"Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",700,2,1,1 BHK Apartment ,1,Wanowrie,Resale,Co-Operative Society,3350000,4785,Unfurnished
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM,Wifi","Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1960,2,3,3 BHK Apartment ,6,Wakad,New,Freehold,16000000,8163,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1602,2,3,3 BHK Apartment ,6,Wakad,Resale,Freehold,12000000,7490,Semi-Furnished
1,"Car Parking,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room","Lift Available,Power Backup,Sports Facility,Landscaped Gardens",1860,1,3,3 BHK Apartment ,9,Kothrud,New,Co-Operative Society,15300000,8225,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,School,Hospital,ATM,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1500,1,2,3 BHK Apartment ,5,Hinjewadi,New,Freehold,9000000,6000,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",2527,3,3,3 BHK Apartment ,4,Baner,New,Freehold,14800000,5856,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Wifi","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1206,2,2,2 BHK Apartment ,8,Baner,New,Freehold,8900000,7379,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,AC,Gas connection","Club House,Gymnasium,Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",2036,2,4,3 BHK Apartment ,10,Bavdhan,New,Co-Operative Society,18000000,8840,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,AC,Wifi","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",3030,2,4,4 BHK Apartment ,11,Baner,Resale,Freehold,35000000,11551,Semi-Furnished
0,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",2653,2,4,4 BHK Apartment ,16,Kothrud,New,Co-Operative Society,31836000,12000,Ready to move
0,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",1930,2,5,4 BHK Apartment ,18,Kothrud,New,Co-Operative Society,23160000,12000,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1000,2,2,2 BHK Apartment ,1,Baner,Resale,Freehold,6350000,6350,Unfurnished
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Children's play area,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",1641,2,3,3 BHK Apartment ,3,Baner,New,Freehold,12000000,7312,Ready to move
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM,AC,Wifi","Sports Facility,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",2600,3,4,4 BHK Apartment ,2,Wakad,Resale,Freehold,25000000,9615,Semi-Furnished
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",990,2,2,2 BHK Apartment ,4,Baner,New,Freehold,6500000,6565,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital","Gymnasium,Swimming Pool,Sports Facility,Jogging Track",1001,2,2,2 BHK Apartment ,2,Baner,New,Freehold,6150000,6143,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1400,2,3,3 BHK Apartment ,1,Baner,New,Freehold,11500000,8214,Ready to move
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Microwave","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",1610,1,3,3 BHK Apartment ,7,Wakad,Resale,Freehold,13100000,8136,Semi-Furnished
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",2500,3,3,3 BHK Apartment ,4,Baner,New,Freehold,18000000,7200,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1225,2,2,2 BHK Apartment ,3,Hinjewadi,New,Freehold,6260000,5110,Ready to move
6,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",2800,3,4,3 BHK Villa ,1,Wakad,Resale,Freehold,21000000,7500,Semi-Furnished
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",1910,2,3,3 BHK Apartment ,10,Baner,Resale,Freehold,14500000,7591,Semi-Furnished
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1151,2,2,2 BHK Apartment ,1,Hinjewadi,New,Freehold,6442301,5597,Ready to move
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC,Wifi,Microwave","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",3575,1,4,4 BHK Apartment ,2,Baner,Resale,Freehold,47500000,13286,Semi-Furnished
1,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",Sports Facility,1032,2,2,2 BHK Apartment ,1,Undri,New,Freehold,4437600,4300,Ready to move
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",1206,2,2,2 BHK Apartment ,2,Baner,Resale,Freehold,8800000,7296,Semi-Furnished
0,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",1225,2,2,2 BHK Apartment ,1,Hinjewadi,New,Freehold,5892000,4809,Ready to move
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",1050,2,2,2 BHK Apartment ,7,Bavdhan,Resale,Freehold,7500000,7142,Semi-Furnished
2,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC,Wifi,Microwave","Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",3690,1,4,4 BHK Apartment ,12,Baner,New,Freehold,45000000,12195,Ready to move
